,id,year,brand,model,description,price,odometer,bodytype,cylinder,volume,turbo,fueltype,hybrid,electric,state,url
288,SSE-AD-12393265,2008,alfa romeo,spider,jts v6 auto,34600,136086.0,convertible,6,3.2,False,petrol,False,False,NSW,/cars/details/2008-alfa-romeo-spider-jts-v6-auto/SSE-AD-12393265/?Cr=403
289,SSE-AD-12557244,1999,alfa romeo,156,v6 auto,7700,195890.0,sedan,6,2.5,False,petrol,False,False,VIC,/cars/details/1999-alfa-romeo-156-v6-auto/SSE-AD-12557244/?Cr=404
290,SSE-AD-13302503,2004,alfa romeo,166,auto my04,10900,179000.0,sedan,6,3.0,False,petrol,False,False,SA,/cars/details/2004-alfa-romeo-166-auto-my04/SSE-AD-13302503/?Cr=405
291,SSE-AD-13334304,2009,alfa romeo,gt,selespeed jts auto,10000,82000.0,coupe,4,2.0,False,petrol,False,False,SA,/cars/details/2009-alfa-romeo-gt-selespeed-jts-auto/SSE-AD-13334304/?Cr=406
292,SSE-AD-12707567,2018,alfa romeo,giulietta,veloce auto,37500,36570.0,hatch,4,1.75,True,petrol,False,False,VIC,/cars/details/2018-alfa-romeo-giulietta-veloce-auto/SSE-AD-12707567/?Cr=408
293,SSE-AD-12759302,2015,alfa romeo,4c,launch edition auto,92500,19700.0,coupe,4,1.7,True,petrol,False,False,NSW,/cars/details/2015-alfa-romeo-4c-launch-edition-auto/SSE-AD-12759302/?Cr=409
294,SSE-AD-13191769,1977,alfa romeo,spider,2000 veloce manual,66000,2000.0,convertible,4,2.0,False,petrol,False,False,NSW,/cars/details/1977-alfa-romeo-spider-2000-veloce-manual/SSE-AD-13191769/?Cr=410
295,SSE-AD-13228648,2009,alfa romeo,brera,jts selespeed auto,15000,188160.0,coupe,4,2.2,False,petrol,False,False,TAS,/cars/details/2009-alfa-romeo-brera-jts-selespeed-auto/SSE-AD-13228648/?Cr=411
296,SSE-AD-6770207,1984,alfa romeo,giulietta,manual,7800,250000.0,sedan,4,2.0,False,petrol,False,False,NSW,/cars/details/1984-alfa-romeo-giulietta-manual/SSE-AD-6770207/?Cr=412
297,SSE-AD-13234257,2007,alfa romeo,spider,jts manual,27500,116600.0,convertible,4,2.2,False,petrol,False,False,NSW,/cars/details/2007-alfa-romeo-spider-jts-manual/SSE-AD-13234257/?Cr=413
298,SSE-AD-12341827,1998,alfa romeo,gtv,v6 manual,26000,65000.0,coupe,6,3.0,False,petrol,False,False,NSW,/cars/details/1998-alfa-romeo-gtv-v6-manual/SSE-AD-12341827/?Cr=414
299,SSE-AD-7372634,1984,alfa romeo,alfetta,gtv6 manual,43000,74416.0,coupe,6,2.5,False,petrol,False,False,NSW,/cars/details/1984-alfa-romeo-alfetta-gtv6-manual/SSE-AD-7372634/?Cr=415
300,SSE-AD-13274392,2018,alfa romeo,stelvio,auto awd,50990,71500.0,suv,4,2.2,True,diesel,False,False,VIC,/cars/details/2018-alfa-romeo-stelvio-auto-awd/SSE-AD-13274392/?Cr=416
301,SSE-AD-13310882,2012,alfa romeo,giulietta,auto,12500,92047.0,hatch,4,1.4,True,petrol,False,False,NSW,/cars/details/2012-alfa-romeo-giulietta-auto/SSE-AD-13310882/?Cr=417
302,SSE-AD-12066823,2008,alfa romeo,159,jtd auto,9700,145000.0,wagon,5,2.4,True,diesel,False,False,NSW,/cars/details/2008-alfa-romeo-159-jtd-auto/SSE-AD-12066823/?Cr=418
303,SSE-AD-13106513,2006,alfa romeo,166,ti auto my06,12900,135898.0,sedan,6,3.0,False,petrol,False,False,VIC,/cars/details/2006-alfa-romeo-166-ti-auto-my06/SSE-AD-13106513/?Cr=419
304,SSE-AD-13231690,2017,alfa romeo,giulietta,super auto,26000,56819.0,hatch,4,1.4,True,petrol,False,False,NSW,/cars/details/2017-alfa-romeo-giulietta-super-auto/SSE-AD-13231690/?Cr=420
305,SSE-AD-13293675,2007,alfa romeo,brera,jts manual,17000,96160.0,coupe,4,2.2,False,petrol,False,False,SA,/cars/details/2007-alfa-romeo-brera-jts-manual/SSE-AD-13293675/?Cr=421
306,SSE-AD-13294445,2002,alfa romeo,156,gta manual,32000,132500.0,sedan,6,3.2,False,petrol,False,False,SA,/cars/details/2002-alfa-romeo-156-gta-manual/SSE-AD-13294445/?Cr=422
307,SSE-AD-11898780,1969,alfa romeo,1750,gt veloce manual,105000,49571.0,coupe,4,1750.0,False,petrol,False,False,NSW,/cars/details/1969-alfa-romeo-1750-gt-veloce-manual/SSE-AD-11898780/?Cr=423
308,SSE-AD-7318682,2017,alfa romeo,giulia,veloce auto,39900,123456.0,sedan,4,2.0,True,petrol,False,False,QLD,/cars/details/2017-alfa-romeo-giulia-veloce-auto/SSE-AD-7318682/?Cr=424
309,SSE-AD-13290386,2011,alfa romeo,giulietta,qv manual,15500,100000.0,hatch,4,1.7,True,petrol,False,False,VIC,/cars/details/2011-alfa-romeo-giulietta-qv-manual/SSE-AD-13290386/?Cr=425
310,SSE-AD-13291932,2018,alfa romeo,giulia,veloce auto,52000,58500.0,sedan,4,2.0,True,petrol,False,False,NSW,/cars/details/2018-alfa-romeo-giulia-veloce-auto/SSE-AD-13291932/?Cr=426
311,SSE-AD-12759144,2013,alfa romeo,giulietta,distinctive jtd-m auto my12,13499,94000.0,hatch,4,2.0,True,diesel,False,False,VIC,/cars/details/2013-alfa-romeo-giulietta-distinctive-jtd-m-auto-my12/SSE-AD-12759144/?Cr=427
312,SSE-AD-12430620,1985,alfa romeo,alfetta,gtv6 manual,70000,70000.0,coupe,6,2.5,False,petrol,False,False,NSW,/cars/details/1985-alfa-romeo-alfetta-gtv6-manual/SSE-AD-12430620/?Cr=428
313,SSE-AD-13280178,2008,alfa romeo,gt,manual,24900,86201.0,coupe,6,3.2,False,petrol,False,False,NSW,/cars/details/2008-alfa-romeo-gt-manual/SSE-AD-13280178/?Cr=429
314,SSE-AD-12328362,2014,alfa romeo,giulietta,progression auto,14000,83000.0,hatch,4,1.4,True,petrol,False,False,SA,/cars/details/2014-alfa-romeo-giulietta-progression-auto/SSE-AD-12328362/?Cr=430
315,SSE-AD-13062427,1998,alfa romeo,gtv,v6 manual,28200,45500.0,coupe,6,3.0,False,petrol,False,False,NSW,/cars/details/1998-alfa-romeo-gtv-v6-manual/SSE-AD-13062427/?Cr=431
316,SSE-AD-13277379,1965,alfa romeo,2600,sprint manual,115000,20053.0,coupe,6,2600.0,False,petrol,False,False,NSW,/cars/details/1965-alfa-romeo-2600-sprint-manual/SSE-AD-13277379/?Cr=432
317,SSE-AD-12433662,2015,alfa romeo,giulietta,quadrifoglio verde auto,34999,30800.0,hatch,4,1.8,True,petrol,False,False,NSW,/cars/details/2015-alfa-romeo-giulietta-quadrifoglio-verde-auto/SSE-AD-12433662/?Cr=433
318,SSE-AD-7302273,2007,alfa romeo,spider,jts v6 auto,39900,85000.0,convertible,6,3.2,False,petrol,False,False,VIC,/cars/details/2007-alfa-romeo-spider-jts-v6-auto/SSE-AD-7302273/?Cr=434
319,SSE-AD-7021498,1972,alfa romeo,spider,manual,64990,39465.0,convertible,4,2.0,False,petrol,False,False,VIC,/cars/details/1972-alfa-romeo-spider-manual/SSE-AD-7021498/?Cr=435
320,SSE-AD-12919266,2019,alfa romeo,giulia,quadrifoglio auto my19,92990,16500.0,sedan,6,2.9,True,petrol,False,False,QLD,/cars/details/2019-alfa-romeo-giulia-quadrifoglio-auto-my19/SSE-AD-12919266/?Cr=436
321,SSE-AD-12950078,2017,alfa romeo,giulia,super auto,55000,76000.0,sedan,4,2.0,True,petrol,False,False,QLD,/cars/details/2017-alfa-romeo-giulia-super-auto/SSE-AD-12950078/?Cr=437
322,SSE-AD-12791226,1998,alfa romeo,gtv,v6 manual,15000,247000.0,coupe,6,3.0,False,petrol,False,False,WA,/cars/details/1998-alfa-romeo-gtv-v6-manual/SSE-AD-12791226/?Cr=438
323,SSE-AD-13274386,1990,alfa romeo,alfa,33 boxer manual,8300,215000.0,hatch,4,1.7,False,petrol,False,False,NSW,/cars/details/1990-alfa-romeo-alfa-33-boxer-manual/SSE-AD-13274386/?Cr=439
324,SSE-AD-13272229,2012,alfa romeo,giulietta,qv manual,14500,86068.0,hatch,4,1.7,True,petrol,False,False,NSW,/cars/details/2012-alfa-romeo-giulietta-qv-manual/SSE-AD-13272229/?Cr=440
325,SSE-AD-12721408,2012,alfa romeo,159,jts ti auto my09,39950,48000.0,sedan,6,3.2,False,petrol,False,False,NSW,/cars/details/2012-alfa-romeo-159-jts-ti-auto-my09/SSE-AD-12721408/?Cr=441
326,SSE-AD-13229528,2011,alfa romeo,159,1750 tbi ti manual,22000,97000.0,sedan,4,1.7,True,petrol,False,False,VIC,/cars/details/2011-alfa-romeo-159-1750-tbi-ti-manual/SSE-AD-13229528/?Cr=442
327,SSE-AD-12940199,2004,alfa romeo,gt,manual,15500,181000.0,coupe,6,3.2,False,petrol,False,False,QLD,/cars/details/2004-alfa-romeo-gt-manual/SSE-AD-12940199/?Cr=443
328,SSE-AD-12003329,1999,alfa romeo,gtv,v6 manual,24000,159000.0,coupe,6,3.0,False,petrol,False,False,VIC,/cars/details/1999-alfa-romeo-gtv-v6-manual/SSE-AD-12003329/?Cr=444
329,SSE-AD-12978381,2020,alfa romeo,giulia,veloce auto my20,55000,12000.0,sedan,4,2.0,True,petrol,False,False,VIC,/cars/details/2020-alfa-romeo-giulia-veloce-auto-my20/SSE-AD-12978381/?Cr=445
330,SSE-AD-13263647,2014,alfa romeo,giulietta,progression auto,10900,74000.0,hatch,4,1.4,True,petrol,False,False,NSW,/cars/details/2014-alfa-romeo-giulietta-progression-auto/SSE-AD-13263647/?Cr=446
331,SSE-AD-12606648,2004,alfa romeo,156,jts manual my04,5600,272000.0,sedan,4,2.0,False,petrol,False,False,VIC,/cars/details/2004-alfa-romeo-156-jts-manual-my04/SSE-AD-12606648/?Cr=447
332,SSE-AD-13135903,2017,alfa romeo,giulia,quadrifoglio auto,110000,29009.0,sedan,6,2.9,True,petrol,False,False,NSW,/cars/details/2017-alfa-romeo-giulia-quadrifoglio-auto/SSE-AD-13135903/?Cr=448
333,SSE-AD-12433260,2004,alfa romeo,156,v6 auto my04,9500,122311.0,sedan,6,2.5,False,petrol,False,False,NSW,/cars/details/2004-alfa-romeo-156-v6-auto-my04/SSE-AD-12433260/?Cr=449
334,SSE-AD-12785158,2007,alfa romeo,159,jtd auto,7888,143000.0,sedan,4,1.9,True,diesel,False,False,ACT,/cars/details/2007-alfa-romeo-159-jtd-auto/SSE-AD-12785158/?Cr=450
335,SSE-AD-13216151,2004,alfa romeo,147,gta manual,35000,67000.0,hatch,6,3.2,False,petrol,False,False,QLD,/cars/details/2004-alfa-romeo-147-gta-manual/SSE-AD-13216151/?Cr=451
336,SSE-AD-12633795,2004,alfa romeo,spider,jts manual my04,10500,111400.0,convertible,4,2.0,False,petrol,False,False,NSW,/cars/details/2004-alfa-romeo-spider-jts-manual-my04/SSE-AD-12633795/?Cr=452
337,SSE-AD-12776663,2009,alfa romeo,gt,jts manual,10000,145754.0,coupe,4,2.0,False,petrol,False,False,VIC,/cars/details/2009-alfa-romeo-gt-jts-manual/SSE-AD-12776663/?Cr=453
338,SSE-AD-13216391,2011,alfa romeo,brera,1750 tbi manual my11,45000,43594.0,coupe,4,1.7,True,petrol,False,False,NSW,/cars/details/2011-alfa-romeo-brera-1750-tbi-manual-my11/SSE-AD-13216391/?Cr=454
339,SSE-AD-12825300,2018,alfa romeo,giulia,veloce auto,60000,13735.0,sedan,4,2.0,True,petrol,False,False,VIC,/cars/details/2018-alfa-romeo-giulia-veloce-auto/SSE-AD-12825300/?Cr=455
340,SSE-AD-12181806,1970,alfa romeo,1750,gt veloce manual,92000,18196.0,coupe,4,1750.0,False,petrol,False,False,WA,/cars/details/1970-alfa-romeo-1750-gt-veloce-manual/SSE-AD-12181806/?Cr=456
341,SSE-AD-12598851,1969,alfa romeo,1750,gt veloce manual,68444,84800.0,coupe,4,1750.0,False,petrol,False,False,NSW,/cars/details/1969-alfa-romeo-1750-gt-veloce-manual/SSE-AD-12598851/?Cr=457
342,SSE-AD-13071749,2009,alfa romeo,mito,sport manual,13000,222000.0,hatch,4,1.4,True,petrol,False,False,NSW,/cars/details/2009-alfa-romeo-mito-sport-manual/SSE-AD-13071749/?Cr=458
343,SSE-AD-12853931,2006,alfa romeo,gt,manual,24000,118500.0,coupe,6,3.2,False,petrol,False,False,WA,/cars/details/2006-alfa-romeo-gt-manual/SSE-AD-12853931/?Cr=459
344,SSE-AD-12909313,2013,alfa romeo,giulietta,distinctive auto my12,12600,75000.0,hatch,4,1.4,True,petrol,False,False,NSW,/cars/details/2013-alfa-romeo-giulietta-distinctive-auto-my12/SSE-AD-12909313/?Cr=460
345,SSE-AD-12959104,1974,alfa romeo,2000,gt veloce manual,89500,92500.0,coupe,4,2000.0,False,petrol,False,False,WA,/cars/details/1974-alfa-romeo-2000-gt-veloce-manual/SSE-AD-12959104/?Cr=461
346,SSE-AD-13226803,1972,alfa romeo,giulia,super manual,63000,100000.0,sedan,4,1600.0,False,petrol,False,False,VIC,/cars/details/1972-alfa-romeo-giulia-super-manual/SSE-AD-13226803/?Cr=462
347,SSE-AD-12908229,2007,alfa romeo,brera,jts manual,13500,135000.0,coupe,4,2.2,False,petrol,False,False,NSW,/cars/details/2007-alfa-romeo-brera-jts-manual/SSE-AD-12908229/?Cr=463
348,SSE-AD-12995567,2021,alfa romeo,stelvio,veloce auto awd my21,84888,10911.0,suv,4,2.0,True,petrol,False,False,SA,/cars/details/2021-alfa-romeo-stelvio-veloce-auto-awd-my21/SSE-AD-12995567/?Cr=464
349,SSE-AD-12349192,1987,alfa romeo,sprint,veloce manual,25000,105000.0,coupe,4,1.5,False,petrol,False,False,NSW,/cars/details/1987-alfa-romeo-sprint-veloce-manual/SSE-AD-12349192/?Cr=465
350,SSE-AD-12230497,2021,alfa romeo,4c,33 stradale tributo auto,206000,28.0,coupe,4,1.7,True,petrol,False,False,VIC,/cars/details/2021-alfa-romeo-4c-33-stradale-tributo-auto/SSE-AD-12230497/?Cr=466
351,SSE-AD-13218793,2017,alfa romeo,stelvio,first edition auto awd,51750,79348.0,suv,4,2.2,True,diesel,False,False,VIC,/cars/details/2017-alfa-romeo-stelvio-first-edition-auto-awd/SSE-AD-13218793/?Cr=467
352,SSE-AD-13209858,2012,alfa romeo,giulietta,distinctive jtd-m auto my12,15999,85958.0,hatch,4,2.0,True,diesel,False,False,VIC,/cars/details/2012-alfa-romeo-giulietta-distinctive-jtd-m-auto-my12/SSE-AD-13209858/?Cr=468
353,SSE-AD-11857283,2007,alfa romeo,brera,jts manual,18000,112440.0,coupe,4,2.2,False,petrol,False,False,NSW,/cars/details/2007-alfa-romeo-brera-jts-manual/SSE-AD-11857283/?Cr=469
354,SSE-AD-13193316,2016,alfa romeo,giulietta,veloce auto,29990,24450.0,hatch,4,1.75,True,petrol,False,False,VIC,/cars/details/2016-alfa-romeo-giulietta-veloce-auto/SSE-AD-13193316/?Cr=470
355,SSE-AD-12313085,2007,alfa romeo,brera,v6 manual,47000,48000.0,coupe,6,3.2,False,petrol,False,False,NSW,/cars/details/2007-alfa-romeo-brera-v6-manual/SSE-AD-12313085/?Cr=471
356,SSE-AD-12880239,1985,alfa romeo,giulietta,manual,12000,175347.0,sedan,4,2.0,False,petrol,False,False,NSW,/cars/details/1985-alfa-romeo-giulietta-manual/SSE-AD-12880239/?Cr=472
357,SSE-AD-12947547,1999,alfa romeo,166,auto,14900,112000.0,sedan,6,3.0,False,petrol,False,False,VIC,/cars/details/1999-alfa-romeo-166-auto/SSE-AD-12947547/?Cr=473
358,SSE-AD-12874366,2016,alfa romeo,giulia,veloce auto,47000,65970.0,sedan,4,2.0,True,petrol,False,False,QLD,/cars/details/2016-alfa-romeo-giulia-veloce-auto/SSE-AD-12874366/?Cr=474
359,SSE-AD-12499655,2013,alfa romeo,giulietta,progression manual my13,13500,89323.0,hatch,4,1.4,True,petrol,False,False,QLD,/cars/details/2013-alfa-romeo-giulietta-progression-manual-my13/SSE-AD-12499655/?Cr=475
360,SSE-AD-13150624,2001,alfa romeo,147,twin spark manual my02,2600,186731.0,hatch,4,2.0,False,petrol,False,False,VIC,/cars/details/2001-alfa-romeo-147-twin-spark-manual-my02/SSE-AD-13150624/?Cr=476
361,SSE-AD-13180803,2010,alfa romeo,gt,100th anniversary manual,37500,95000.0,coupe,6,3.2,False,petrol,False,False,NSW,/cars/details/2010-alfa-romeo-gt-100th-anniversary-manual/SSE-AD-13180803/?Cr=477
362,SSE-AD-13174168,2015,alfa romeo,giulietta,quadrifoglio verde auto,27990,50000.0,hatch,4,1.8,True,petrol,False,False,NSW,/cars/details/2015-alfa-romeo-giulietta-quadrifoglio-verde-auto/SSE-AD-13174168/?Cr=478
363,SSE-AD-12711865,2000,alfa romeo,spider,twin spark luxury manual,18800,69000.0,convertible,4,2.0,False,petrol,False,False,NSW,/cars/details/2000-alfa-romeo-spider-twin-spark-luxury-manual/SSE-AD-12711865/?Cr=479
364,SSE-AD-12899517,2011,alfa romeo,mito,qv manual my10,9500,104000.0,hatch,4,1.4,True,petrol,False,False,NSW,/cars/details/2011-alfa-romeo-mito-qv-manual-my10/SSE-AD-12899517/?Cr=480
365,SSE-AD-12193600,1979,alfa romeo,alfetta,gtv 2000l manual,42000,75000.0,coupe,4,2.0,False,petrol,False,False,SA,/cars/details/1979-alfa-romeo-alfetta-gtv-2000l-manual/SSE-AD-12193600/?Cr=481
366,SSE-AD-12934323,2004,alfa romeo,spider,v6 manual my04,30000,140000.0,convertible,6,3.2,False,petrol,False,False,NSW,/cars/details/2004-alfa-romeo-spider-v6-manual-my04/SSE-AD-12934323/?Cr=482
367,SSE-AD-12853133,2011,alfa romeo,giulietta,qv manual,17500,84000.0,hatch,4,1.7,True,petrol,False,False,WA,/cars/details/2011-alfa-romeo-giulietta-qv-manual/SSE-AD-12853133/?Cr=483
368,SSE-AD-12777483,2019,alfa romeo,giulietta,super auto,37500,18500.0,hatch,4,1.4,True,petrol,False,False,WA,/cars/details/2019-alfa-romeo-giulietta-super-auto/SSE-AD-12777483/?Cr=484
369,SSE-AD-12521470,2019,alfa romeo,giulietta,veloce auto,40000,22205.0,hatch,4,1.75,True,petrol,False,False,SA,/cars/details/2019-alfa-romeo-giulietta-veloce-auto/SSE-AD-12521470/?Cr=485
370,SSE-AD-12691452,2005,alfa romeo,166,auto my04,10000,85000.0,sedan,6,3.0,False,petrol,False,False,QLD,/cars/details/2005-alfa-romeo-166-auto-my04/SSE-AD-12691452/?Cr=486
371,SSE-AD-12832166,2003,alfa romeo,spider,jts manual my04,42000,12000.0,convertible,4,2.0,False,petrol,False,False,NSW,/cars/details/2003-alfa-romeo-spider-jts-manual-my04/SSE-AD-12832166/?Cr=487
372,SSE-AD-7123717,1983,alfa romeo,alfetta,gtv6 manual,40000,99999.0,coupe,6,2.5,False,petrol,False,False,NSW,/cars/details/1983-alfa-romeo-alfetta-gtv6-manual/SSE-AD-7123717/?Cr=488
373,SSE-AD-12496129,2015,alfa romeo,mito,qv manual,19000,42000.0,hatch,4,1.4,True,petrol,False,False,NSW,/cars/details/2015-alfa-romeo-mito-qv-manual/SSE-AD-12496129/?Cr=489
374,SSE-AD-12759692,1968,alfa romeo,1750,gt veloce manual,130000,99999.0,coupe,4,1750.0,False,petrol,False,False,VIC,/cars/details/1968-alfa-romeo-1750-gt-veloce-manual/SSE-AD-12759692/?Cr=490
375,SSE-AD-7220118,2005,alfa romeo,gt,manual,19999,115000.0,coupe,6,3.2,False,petrol,False,False,QLD,/cars/details/2005-alfa-romeo-gt-manual/SSE-AD-7220118/?Cr=491
376,SSE-AD-12820148,2014,alfa romeo,giulietta,progression manual,10000,169000.0,hatch,4,1.4,True,petrol,False,False,NSW,/cars/details/2014-alfa-romeo-giulietta-progression-manual/SSE-AD-12820148/?Cr=492
377,SSE-AD-13121559,2013,alfa romeo,giulietta,distinctive manual my13,14000,68197.0,hatch,4,1.4,True,petrol,False,False,VIC,/cars/details/2013-alfa-romeo-giulietta-distinctive-manual-my13/SSE-AD-13121559/?Cr=493
378,SSE-AD-12504321,2018,alfa romeo,giulietta,veloce auto,39990,29385.0,hatch,4,1.75,True,petrol,False,False,VIC,/cars/details/2018-alfa-romeo-giulietta-veloce-auto/SSE-AD-12504321/?Cr=494
379,SSE-AD-12662738,2009,alfa romeo,mito,manual,4900,179000.0,hatch,4,1.4,True,petrol,False,False,VIC,/cars/details/2009-alfa-romeo-mito-manual/SSE-AD-12662738/?Cr=495
380,SSE-AD-12025963,2015,alfa romeo,giulietta,quadrifoglio verde auto,29890,92180.0,hatch,4,1.8,True,petrol,False,False,VIC,/cars/details/2015-alfa-romeo-giulietta-quadrifoglio-verde-auto/SSE-AD-12025963/?Cr=496
381,SSE-AD-7315482,2012,alfa romeo,mito,qv manual my12,12000,99999.0,hatch,4,1.4,True,petrol,False,False,SA,/cars/details/2012-alfa-romeo-mito-qv-manual-my12/SSE-AD-7315482/?Cr=497
382,SSE-AD-13091218,2008,alfa romeo,brera,jts selespeed auto,16900,151150.0,coupe,4,2.2,False,petrol,False,False,VIC,/cars/details/2008-alfa-romeo-brera-jts-selespeed-auto/SSE-AD-13091218/?Cr=498
383,SSE-AD-12614788,2013,alfa romeo,giulietta,progression manual my13,9000,212509.0,hatch,4,1.4,True,petrol,False,False,VIC,/cars/details/2013-alfa-romeo-giulietta-progression-manual-my13/SSE-AD-12614788/?Cr=499
384,SSE-AD-13093974,2014,alfa romeo,giulietta,qv manual,16500,142000.0,hatch,4,1.7,True,petrol,False,False,VIC,/cars/details/2014-alfa-romeo-giulietta-qv-manual/SSE-AD-13093974/?Cr=500
385,SSE-AD-12171273,2007,alfa romeo,159,jts manual,7500,197000.0,wagon,4,2.2,False,petrol,False,False,SA,/cars/details/2007-alfa-romeo-159-jts-manual/SSE-AD-12171273/?Cr=501
386,SSE-AD-12160111,1985,alfa romeo,giulietta,manual,19500,5000.0,sedan,4,2.0,False,petrol,False,False,ACT,/cars/details/1985-alfa-romeo-giulietta-manual/SSE-AD-12160111/?Cr=502
387,SSE-AD-11870713,2008,alfa romeo,159,jts ti auto,11000,228000.0,wagon,6,3.2,False,petrol,False,False,NSW,/cars/details/2008-alfa-romeo-159-jts-ti-auto/SSE-AD-11870713/?Cr=503
