,title,url,price,km,body_type,matic,petrol,location
285,2014 Alfa Romeo Giulietta Quadrifoglio Verde Auto,/cars/details/2014-alfa-romeo-giulietta-quadrifoglio-verde-auto/SSE-AD-13068718/?Cr=400,"$25,000*","73,000 km",Hatch,Automatic,4cyl 1.8L Turbo Petrol,VIC
286,2018 Alfa Romeo Giulietta Veloce Auto,/cars/details/2018-alfa-romeo-giulietta-veloce-auto/SSE-AD-13122422/?Cr=401,"$32,000*","29,700 km",Hatch,Automatic,4cyl 1.75L Turbo Petrol,NSW
287,1972 Alfa Romeo Giulia Super Manual,/cars/details/1972-alfa-romeo-giulia-super-manual/SSE-AD-12709092/?Cr=402,"$72,000*","134,000 km",Sedan,Manual,4cyl 1600L Petrol,ACT
288,2008 Alfa Romeo Spider JTS V6 Auto,/cars/details/2008-alfa-romeo-spider-jts-v6-auto/SSE-AD-12393265/?Cr=403,"$34,600*","136,086 km",Convertible,Automatic,6cyl 3.2L Petrol,NSW
289,1999 Alfa Romeo 156 V6 Auto,/cars/details/1999-alfa-romeo-156-v6-auto/SSE-AD-12557244/?Cr=404,"$7,700*","195,890 km",Sedan,Automatic,6cyl 2.5L Petrol,VIC
290,2004 Alfa Romeo 166 Auto MY04,/cars/details/2004-alfa-romeo-166-auto-my04/SSE-AD-13302503/?Cr=405,"$10,900*","179,000 km",Sedan,Automatic,6cyl 3.0L Petrol,SA
291,2009 Alfa Romeo GT Selespeed JTS Auto,/cars/details/2009-alfa-romeo-gt-selespeed-jts-auto/SSE-AD-13334304/?Cr=406,"$10,000*","82,000 km",Coupe,Automatic,4cyl 2.0L Petrol,SA
292,2018 Alfa Romeo Giulietta Veloce Auto,/cars/details/2018-alfa-romeo-giulietta-veloce-auto/SSE-AD-12707567/?Cr=408,"$37,500*","36,570 km",Hatch,Automatic,4cyl 1.75L Turbo Petrol,VIC
293,2015 Alfa Romeo 4C Launch Edition Auto,/cars/details/2015-alfa-romeo-4c-launch-edition-auto/SSE-AD-12759302/?Cr=409,"$92,500*","19,700 km",Coupe,Automatic,4cyl 1.7L Turbo Petrol,NSW
294,1977 Alfa Romeo Spider 2000 Veloce Manual,/cars/details/1977-alfa-romeo-spider-2000-veloce-manual/SSE-AD-13191769/?Cr=410,"$66,000*","2,000 km",Convertible,Manual,4cyl 2.0L Petrol,NSW
295,2009 Alfa Romeo Brera JTS Selespeed Auto,/cars/details/2009-alfa-romeo-brera-jts-selespeed-auto/SSE-AD-13228648/?Cr=411,"$15,000*","188,160 km",Coupe,Automatic,4cyl 2.2L Petrol,TAS
296,1984 Alfa Romeo Giulietta Manual,/cars/details/1984-alfa-romeo-giulietta-manual/SSE-AD-6770207/?Cr=412,"$7,800*","250,000 km",Sedan,Manual,4cyl 2.0L Petrol,NSW
297,2007 Alfa Romeo Spider JTS Manual,/cars/details/2007-alfa-romeo-spider-jts-manual/SSE-AD-13234257/?Cr=413,"$27,500*","116,600 km",Convertible,Manual,4cyl 2.2L Petrol,NSW
298,1998 Alfa Romeo GTV V6 Manual,/cars/details/1998-alfa-romeo-gtv-v6-manual/SSE-AD-12341827/?Cr=414,"$26,000*","65,000 km",Coupe,Manual,6cyl 3.0L Petrol,NSW
299,1984 Alfa Romeo Alfetta GTV6 Manual,/cars/details/1984-alfa-romeo-alfetta-gtv6-manual/SSE-AD-7372634/?Cr=415,"$43,000*","74,416 km",Coupe,Manual,6cyl 2.5L Petrol,NSW
300,2018 Alfa Romeo Stelvio Auto AWD,/cars/details/2018-alfa-romeo-stelvio-auto-awd/SSE-AD-13274392/?Cr=416,"$50,990*","71,500 km",SUV,Automatic,4cyl 2.2L Turbo Diesel,VIC
301,2012 Alfa Romeo Giulietta Auto,/cars/details/2012-alfa-romeo-giulietta-auto/SSE-AD-13310882/?Cr=417,"$12,500*","92,047 km",Hatch,Automatic,4cyl 1.4L Turbo Petrol,NSW
302,2008 Alfa Romeo 159 JTD Auto,/cars/details/2008-alfa-romeo-159-jtd-auto/SSE-AD-12066823/?Cr=418,"$9,700*","145,000 km",Wagon,Automatic,5cyl 2.4L Turbo Diesel,NSW
303,2006 Alfa Romeo 166 Ti Auto MY06,/cars/details/2006-alfa-romeo-166-ti-auto-my06/SSE-AD-13106513/?Cr=419,"$12,900*","135,898 km",Sedan,Automatic,6cyl 3.0L Petrol,VIC
304,2017 Alfa Romeo Giulietta Super Auto,/cars/details/2017-alfa-romeo-giulietta-super-auto/SSE-AD-13231690/?Cr=420,"$26,000*","56,819 km",Hatch,Automatic,4cyl 1.4L Turbo Petrol,NSW
305,2007 Alfa Romeo Brera JTS Manual,/cars/details/2007-alfa-romeo-brera-jts-manual/SSE-AD-13293675/?Cr=421,"$17,000*","96,160 km",Coupe,Manual,4cyl 2.2L Petrol,SA
306,2002 Alfa Romeo 156 GTA Manual,/cars/details/2002-alfa-romeo-156-gta-manual/SSE-AD-13294445/?Cr=422,"$32,000*","132,500 km",Sedan,Manual,6cyl 3.2L Petrol,SA
307,1969 Alfa Romeo 1750 GT Veloce Manual,/cars/details/1969-alfa-romeo-1750-gt-veloce-manual/SSE-AD-11898780/?Cr=423,"$105,000*","49,571 km",Coupe,Manual,4cyl 1750L Petrol,NSW
308,2017 Alfa Romeo Giulia Veloce Auto,/cars/details/2017-alfa-romeo-giulia-veloce-auto/SSE-AD-7318682/?Cr=424,"$39,900*","123,456 km",Sedan,Automatic,4cyl 2.0L Turbo Petrol,QLD
309,2011 Alfa Romeo Giulietta QV Manual,/cars/details/2011-alfa-romeo-giulietta-qv-manual/SSE-AD-13290386/?Cr=425,"$15,500*","100,000 km",Hatch,Manual,4cyl 1.7L Turbo Petrol,VIC
310,2018 Alfa Romeo Giulia Veloce Auto,/cars/details/2018-alfa-romeo-giulia-veloce-auto/SSE-AD-13291932/?Cr=426,"$52,000*","58,500 km",Sedan,Automatic,4cyl 2.0L Turbo Petrol,NSW
311,2013 Alfa Romeo Giulietta Distinctive JTD-M Auto MY12,/cars/details/2013-alfa-romeo-giulietta-distinctive-jtd-m-auto-my12/SSE-AD-12759144/?Cr=427,"$13,499*","94,000 km",Hatch,Automatic,4cyl 2.0L Turbo Diesel,VIC
312,1985 Alfa Romeo Alfetta GTV6 Manual,/cars/details/1985-alfa-romeo-alfetta-gtv6-manual/SSE-AD-12430620/?Cr=428,"$70,000*","70,000 km",Coupe,Manual,6cyl 2.5L Petrol,NSW
313,2008 Alfa Romeo GT Manual,/cars/details/2008-alfa-romeo-gt-manual/SSE-AD-13280178/?Cr=429,"$24,900*","86,201 km",Coupe,Manual,6cyl 3.2L Petrol,NSW
314,2014 Alfa Romeo Giulietta Progression Auto,/cars/details/2014-alfa-romeo-giulietta-progression-auto/SSE-AD-12328362/?Cr=430,"$14,000*","83,000 km",Hatch,Automatic,4cyl 1.4L Turbo Petrol,SA
315,1998 Alfa Romeo GTV V6 Manual,/cars/details/1998-alfa-romeo-gtv-v6-manual/SSE-AD-13062427/?Cr=431,"$28,200*","45,500 km",Coupe,Manual,6cyl 3.0L Petrol,NSW
316,1965 Alfa Romeo 2600 Sprint Manual,/cars/details/1965-alfa-romeo-2600-sprint-manual/SSE-AD-13277379/?Cr=432,"$115,000*","20,053 km",Coupe,Manual,6cyl 2600L Petrol,NSW
317,2015 Alfa Romeo Giulietta Quadrifoglio Verde Auto,/cars/details/2015-alfa-romeo-giulietta-quadrifoglio-verde-auto/SSE-AD-12433662/?Cr=433,"$34,999*","30,800 km",Hatch,Automatic,4cyl 1.8L Turbo Petrol,NSW
318,2007 Alfa Romeo Spider JTS V6 Auto,/cars/details/2007-alfa-romeo-spider-jts-v6-auto/SSE-AD-7302273/?Cr=434,"$39,900*","85,000 km",Convertible,Automatic,6cyl 3.2L Petrol,VIC
319,1972 Alfa Romeo Spider Manual,/cars/details/1972-alfa-romeo-spider-manual/SSE-AD-7021498/?Cr=435,"$64,990*","39,465 km",Convertible,Manual,4cyl 2.0L Petrol,VIC
320,2019 Alfa Romeo Giulia Quadrifoglio Auto MY19,/cars/details/2019-alfa-romeo-giulia-quadrifoglio-auto-my19/SSE-AD-12919266/?Cr=436,"$92,990*","16,500 km",Sedan,Automatic,6cyl 2.9L Turbo Petrol,QLD
321,2017 Alfa Romeo Giulia Super Auto,/cars/details/2017-alfa-romeo-giulia-super-auto/SSE-AD-12950078/?Cr=437,"$55,000*","76,000 km",Sedan,Automatic,4cyl 2.0L Turbo Petrol,QLD
322,1998 Alfa Romeo GTV V6 Manual,/cars/details/1998-alfa-romeo-gtv-v6-manual/SSE-AD-12791226/?Cr=438,"$15,000*","247,000 km",Coupe,Manual,6cyl 3.0L Petrol,WA
323,1990 Alfa Romeo Alfa 33 Boxer Manual,/cars/details/1990-alfa-romeo-alfa-33-boxer-manual/SSE-AD-13274386/?Cr=439,"$8,300*","215,000 km",Hatch,Manual,4cyl 1.7L Petrol,NSW
324,2012 Alfa Romeo Giulietta QV Manual,/cars/details/2012-alfa-romeo-giulietta-qv-manual/SSE-AD-13272229/?Cr=440,"$14,500*","86,068 km",Hatch,Manual,4cyl 1.7L Turbo Petrol,NSW
325,2012 Alfa Romeo 159 JTS Ti Auto MY09,/cars/details/2012-alfa-romeo-159-jts-ti-auto-my09/SSE-AD-12721408/?Cr=441,"$39,950*","48,000 km",Sedan,Automatic,6cyl 3.2L Petrol,NSW
326,2011 Alfa Romeo 159 1750 TBi Ti Manual,/cars/details/2011-alfa-romeo-159-1750-tbi-ti-manual/SSE-AD-13229528/?Cr=442,"$22,000*","97,000 km",Sedan,Manual,4cyl 1.7L Turbo Petrol,VIC
327,2004 Alfa Romeo GT Manual,/cars/details/2004-alfa-romeo-gt-manual/SSE-AD-12940199/?Cr=443,"$15,500*","181,000 km",Coupe,Manual,6cyl 3.2L Petrol,QLD
328,1999 Alfa Romeo GTV V6 Manual,/cars/details/1999-alfa-romeo-gtv-v6-manual/SSE-AD-12003329/?Cr=444,"$24,000*","159,000 km",Coupe,Manual,6cyl 3.0L Petrol,VIC
329,2020 Alfa Romeo Giulia Veloce Auto MY20,/cars/details/2020-alfa-romeo-giulia-veloce-auto-my20/SSE-AD-12978381/?Cr=445,"$55,000*","12,000 km",Sedan,Automatic,4cyl 2.0L Turbo Petrol,VIC
330,2014 Alfa Romeo Giulietta Progression Auto,/cars/details/2014-alfa-romeo-giulietta-progression-auto/SSE-AD-13263647/?Cr=446,"$10,900*","74,000 km",Hatch,Automatic,4cyl 1.4L Turbo Petrol,NSW
331,2004 Alfa Romeo 156 JTS Manual MY04,/cars/details/2004-alfa-romeo-156-jts-manual-my04/SSE-AD-12606648/?Cr=447,"$5,600*","272,000 km",Sedan,Manual,4cyl 2.0L Petrol,VIC
332,2017 Alfa Romeo Giulia Quadrifoglio Auto,/cars/details/2017-alfa-romeo-giulia-quadrifoglio-auto/SSE-AD-13135903/?Cr=448,"$110,000*","29,009 km",Sedan,Automatic,6cyl 2.9L Turbo Petrol,NSW
333,2004 Alfa Romeo 156 V6 Auto MY04,/cars/details/2004-alfa-romeo-156-v6-auto-my04/SSE-AD-12433260/?Cr=449,"$9,500*","122,311 km",Sedan,Automatic,6cyl 2.5L Petrol,NSW
334,2007 Alfa Romeo 159 JTD Auto,/cars/details/2007-alfa-romeo-159-jtd-auto/SSE-AD-12785158/?Cr=450,"$7,888*","143,000 km",Sedan,Automatic,4cyl 1.9L Turbo Diesel,ACT
335,2004 Alfa Romeo 147 GTA Manual,/cars/details/2004-alfa-romeo-147-gta-manual/SSE-AD-13216151/?Cr=451,"$35,000*","67,000 km",Hatch,Manual,6cyl 3.2L Petrol,QLD
336,2004 Alfa Romeo Spider JTS Manual MY04,/cars/details/2004-alfa-romeo-spider-jts-manual-my04/SSE-AD-12633795/?Cr=452,"$10,500*","111,400 km",Convertible,Manual,4cyl 2.0L Petrol,NSW
337,2009 Alfa Romeo GT JTS Manual,/cars/details/2009-alfa-romeo-gt-jts-manual/SSE-AD-12776663/?Cr=453,"$10,000*","145,754 km",Coupe,Manual,4cyl 2.0L Petrol,VIC
338,2011 Alfa Romeo Brera 1750 TBi Manual MY11,/cars/details/2011-alfa-romeo-brera-1750-tbi-manual-my11/SSE-AD-13216391/?Cr=454,"$45,000*","43,594 km",Coupe,Manual,4cyl 1.7L Turbo Petrol,NSW
339,2018 Alfa Romeo Giulia Veloce Auto,/cars/details/2018-alfa-romeo-giulia-veloce-auto/SSE-AD-12825300/?Cr=455,"$60,000*","13,735 km",Sedan,Automatic,4cyl 2.0L Turbo Petrol,VIC
340,1970 Alfa Romeo 1750 GT Veloce Manual,/cars/details/1970-alfa-romeo-1750-gt-veloce-manual/SSE-AD-12181806/?Cr=456,"$92,000*","18,196 km",Coupe,Manual,4cyl 1750L Petrol,WA
341,1969 Alfa Romeo 1750 GT Veloce Manual,/cars/details/1969-alfa-romeo-1750-gt-veloce-manual/SSE-AD-12598851/?Cr=457,"$68,444*","84,800 km",Coupe,Manual,4cyl 1750L Petrol,NSW
342,2009 Alfa Romeo MiTo Sport Manual,/cars/details/2009-alfa-romeo-mito-sport-manual/SSE-AD-13071749/?Cr=458,"$13,000*","222,000 km",Hatch,Manual,4cyl 1.4L Turbo Petrol,NSW
343,2006 Alfa Romeo GT Manual,/cars/details/2006-alfa-romeo-gt-manual/SSE-AD-12853931/?Cr=459,"$24,000*","118,500 km",Coupe,Manual,6cyl 3.2L Petrol,WA
344,2013 Alfa Romeo Giulietta Distinctive Auto MY12,/cars/details/2013-alfa-romeo-giulietta-distinctive-auto-my12/SSE-AD-12909313/?Cr=460,"$12,600*","75,000 km",Hatch,Automatic,4cyl 1.4L Turbo Petrol,NSW
345,1974 Alfa Romeo 2000 GT Veloce Manual,/cars/details/1974-alfa-romeo-2000-gt-veloce-manual/SSE-AD-12959104/?Cr=461,"$89,500*","92,500 km",Coupe,Manual,4cyl 2000L Petrol,WA
346,1972 Alfa Romeo Giulia Super Manual,/cars/details/1972-alfa-romeo-giulia-super-manual/SSE-AD-13226803/?Cr=462,"$63,000*","100,000 km",Sedan,Manual,4cyl 1600L Petrol,VIC
347,2007 Alfa Romeo Brera JTS Manual,/cars/details/2007-alfa-romeo-brera-jts-manual/SSE-AD-12908229/?Cr=463,"$13,500*","135,000 km",Coupe,Manual,4cyl 2.2L Petrol,NSW
348,2021 Alfa Romeo Stelvio Veloce Auto AWD MY21,/cars/details/2021-alfa-romeo-stelvio-veloce-auto-awd-my21/SSE-AD-12995567/?Cr=464,"$84,888*","10,911 km",SUV,Automatic,4cyl 2.0L Turbo Petrol,SA
349,1987 Alfa Romeo Sprint Veloce Manual,/cars/details/1987-alfa-romeo-sprint-veloce-manual/SSE-AD-12349192/?Cr=465,"$25,000*","105,000 km",Coupe,Manual,4cyl 1.5L Petrol,NSW
350,2021 Alfa Romeo 4C 33 Stradale Tributo Auto,/cars/details/2021-alfa-romeo-4c-33-stradale-tributo-auto/SSE-AD-12230497/?Cr=466,"$206,000*",28 km,Coupe,Automatic,4cyl 1.7L Turbo Petrol,VIC
351,2017 Alfa Romeo Stelvio First Edition Auto AWD,/cars/details/2017-alfa-romeo-stelvio-first-edition-auto-awd/SSE-AD-13218793/?Cr=467,"$51,750*","79,348 km",SUV,Automatic,4cyl 2.2L Turbo Diesel,VIC
352,2012 Alfa Romeo Giulietta Distinctive JTD-M Auto MY12,/cars/details/2012-alfa-romeo-giulietta-distinctive-jtd-m-auto-my12/SSE-AD-13209858/?Cr=468,"$15,999*","85,958 km",Hatch,Automatic,4cyl 2.0L Turbo Diesel,VIC
353,2007 Alfa Romeo Brera JTS Manual,/cars/details/2007-alfa-romeo-brera-jts-manual/SSE-AD-11857283/?Cr=469,"$18,000*","112,440 km",Coupe,Manual,4cyl 2.2L Petrol,NSW
354,2016 Alfa Romeo Giulietta Veloce Auto,/cars/details/2016-alfa-romeo-giulietta-veloce-auto/SSE-AD-13193316/?Cr=470,"$29,990*","24,450 km",Hatch,Automatic,4cyl 1.75L Turbo Petrol,VIC
355,2007 Alfa Romeo Brera V6 Manual,/cars/details/2007-alfa-romeo-brera-v6-manual/SSE-AD-12313085/?Cr=471,"$47,000*","48,000 km",Coupe,Manual,6cyl 3.2L Petrol,NSW
356,1985 Alfa Romeo Giulietta Manual,/cars/details/1985-alfa-romeo-giulietta-manual/SSE-AD-12880239/?Cr=472,"$12,000*","175,347 km",Sedan,Manual,4cyl 2.0L Petrol,NSW
357,1999 Alfa Romeo 166 Auto,/cars/details/1999-alfa-romeo-166-auto/SSE-AD-12947547/?Cr=473,"$14,900*","112,000 km",Sedan,Automatic,6cyl 3.0L Petrol,VIC
358,2016 Alfa Romeo Giulia Veloce Auto,/cars/details/2016-alfa-romeo-giulia-veloce-auto/SSE-AD-12874366/?Cr=474,"$47,000*","65,970 km",Sedan,Automatic,4cyl 2.0L Turbo Petrol,QLD
359,2013 Alfa Romeo Giulietta Progression Manual MY13,/cars/details/2013-alfa-romeo-giulietta-progression-manual-my13/SSE-AD-12499655/?Cr=475,"$13,500*","89,323 km",Hatch,Manual,4cyl 1.4L Turbo Petrol,QLD
360,2001 Alfa Romeo 147 Twin Spark Manual MY02,/cars/details/2001-alfa-romeo-147-twin-spark-manual-my02/SSE-AD-13150624/?Cr=476,"$2,600*","186,731 km",Hatch,Manual,4cyl 2.0L Petrol,VIC
361,2010 Alfa Romeo GT 100th Anniversary Manual,/cars/details/2010-alfa-romeo-gt-100th-anniversary-manual/SSE-AD-13180803/?Cr=477,"$37,500*","95,000 km",Coupe,Manual,6cyl 3.2L Petrol,NSW
362,2015 Alfa Romeo Giulietta Quadrifoglio Verde Auto,/cars/details/2015-alfa-romeo-giulietta-quadrifoglio-verde-auto/SSE-AD-13174168/?Cr=478,"$27,990*","50,000 km",Hatch,Automatic,4cyl 1.8L Turbo Petrol,NSW
363,2000 Alfa Romeo Spider Twin Spark Luxury Manual,/cars/details/2000-alfa-romeo-spider-twin-spark-luxury-manual/SSE-AD-12711865/?Cr=479,"$18,800*","69,000 km",Convertible,Manual,4cyl 2.0L Petrol,NSW
364,2011 Alfa Romeo MiTo QV Manual MY10,/cars/details/2011-alfa-romeo-mito-qv-manual-my10/SSE-AD-12899517/?Cr=480,"$9,500*","104,000 km",Hatch,Manual,4cyl 1.4L Turbo Petrol,NSW
365,1979 Alfa Romeo Alfetta GTV 2000L Manual,/cars/details/1979-alfa-romeo-alfetta-gtv-2000l-manual/SSE-AD-12193600/?Cr=481,"$42,000*","75,000 km",Coupe,Manual,4cyl 2.0L Petrol,SA
366,2004 Alfa Romeo Spider V6 Manual MY04,/cars/details/2004-alfa-romeo-spider-v6-manual-my04/SSE-AD-12934323/?Cr=482,"$30,000*","140,000 km",Convertible,Manual,6cyl 3.2L Petrol,NSW
367,2011 Alfa Romeo Giulietta QV Manual,/cars/details/2011-alfa-romeo-giulietta-qv-manual/SSE-AD-12853133/?Cr=483,"$17,500*","84,000 km",Hatch,Manual,4cyl 1.7L Turbo Petrol,WA
368,2019 Alfa Romeo Giulietta Super Auto,/cars/details/2019-alfa-romeo-giulietta-super-auto/SSE-AD-12777483/?Cr=484,"$37,500*","18,500 km",Hatch,Automatic,4cyl 1.4L Turbo Petrol,WA
369,2019 Alfa Romeo Giulietta Veloce Auto,/cars/details/2019-alfa-romeo-giulietta-veloce-auto/SSE-AD-12521470/?Cr=485,"$40,000*","22,205 km",Hatch,Automatic,4cyl 1.75L Turbo Petrol,SA
370,2005 Alfa Romeo 166 Auto MY04,/cars/details/2005-alfa-romeo-166-auto-my04/SSE-AD-12691452/?Cr=486,"$10,000*","85,000 km",Sedan,Automatic,6cyl 3.0L Petrol,QLD
371,2003 Alfa Romeo Spider JTS Manual MY04,/cars/details/2003-alfa-romeo-spider-jts-manual-my04/SSE-AD-12832166/?Cr=487,"$42,000*","12,000 km",Convertible,Manual,4cyl 2.0L Petrol,NSW
372,1983 Alfa Romeo Alfetta GTV6 Manual,/cars/details/1983-alfa-romeo-alfetta-gtv6-manual/SSE-AD-7123717/?Cr=488,"$40,000*","99,999 km",Coupe,Manual,6cyl 2.5L Petrol,NSW
373,2015 Alfa Romeo MiTo QV Manual,/cars/details/2015-alfa-romeo-mito-qv-manual/SSE-AD-12496129/?Cr=489,"$19,000*","42,000 km",Hatch,Manual,4cyl 1.4L Turbo Petrol,NSW
374,1968 Alfa Romeo 1750 GT Veloce Manual,/cars/details/1968-alfa-romeo-1750-gt-veloce-manual/SSE-AD-12759692/?Cr=490,"$130,000*","99,999 km",Coupe,Manual,4cyl 1750L Petrol,VIC
375,2005 Alfa Romeo GT Manual,/cars/details/2005-alfa-romeo-gt-manual/SSE-AD-7220118/?Cr=491,"$19,999*","115,000 km",Coupe,Manual,6cyl 3.2L Petrol,QLD
376,2014 Alfa Romeo Giulietta Progression Manual,/cars/details/2014-alfa-romeo-giulietta-progression-manual/SSE-AD-12820148/?Cr=492,"$10,000*","169,000 km",Hatch,Manual,4cyl 1.4L Turbo Petrol,NSW
377,2013 Alfa Romeo Giulietta Distinctive Manual MY13,/cars/details/2013-alfa-romeo-giulietta-distinctive-manual-my13/SSE-AD-13121559/?Cr=493,"$14,000*","68,197 km",Hatch,Manual,4cyl 1.4L Turbo Petrol,VIC
378,2018 Alfa Romeo Giulietta Veloce Auto,/cars/details/2018-alfa-romeo-giulietta-veloce-auto/SSE-AD-12504321/?Cr=494,"$39,990*","29,385 km",Hatch,Automatic,4cyl 1.75L Turbo Petrol,VIC
379,2009 Alfa Romeo MiTo Manual,/cars/details/2009-alfa-romeo-mito-manual/SSE-AD-12662738/?Cr=495,"$4,900*","179,000 km",Hatch,Manual,4cyl 1.4L Turbo Petrol,VIC
380,2015 Alfa Romeo Giulietta Quadrifoglio Verde Auto,/cars/details/2015-alfa-romeo-giulietta-quadrifoglio-verde-auto/SSE-AD-12025963/?Cr=496,"$29,890*","92,180 km",Hatch,Automatic,4cyl 1.8L Turbo Petrol,VIC
381,2012 Alfa Romeo MiTo QV Manual MY12,/cars/details/2012-alfa-romeo-mito-qv-manual-my12/SSE-AD-7315482/?Cr=497,"$12,000*","99,999 km",Hatch,Manual,4cyl 1.4L Turbo Petrol,SA
382,2008 Alfa Romeo Brera JTS Selespeed Auto,/cars/details/2008-alfa-romeo-brera-jts-selespeed-auto/SSE-AD-13091218/?Cr=498,"$16,900*","151,150 km",Coupe,Automatic,4cyl 2.2L Petrol,VIC
383,2013 Alfa Romeo Giulietta Progression Manual MY13,/cars/details/2013-alfa-romeo-giulietta-progression-manual-my13/SSE-AD-12614788/?Cr=499,"$9,000*","212,509 km",Hatch,Manual,4cyl 1.4L Turbo Petrol,VIC
384,2014 Alfa Romeo Giulietta QV Manual,/cars/details/2014-alfa-romeo-giulietta-qv-manual/SSE-AD-13093974/?Cr=500,"$16,500*","142,000 km",Hatch,Manual,4cyl 1.7L Turbo Petrol,VIC
385,2007 Alfa Romeo 159 JTS Manual,/cars/details/2007-alfa-romeo-159-jts-manual/SSE-AD-12171273/?Cr=501,"$7,500*","197,000 km",Wagon,Manual,4cyl 2.2L Petrol,SA
386,1985 Alfa Romeo Giulietta Manual,/cars/details/1985-alfa-romeo-giulietta-manual/SSE-AD-12160111/?Cr=502,"$19,500*","5,000 km",Sedan,Manual,4cyl 2.0L Petrol,ACT
387,2008 Alfa Romeo 159 JTS Ti Auto,/cars/details/2008-alfa-romeo-159-jts-ti-auto/SSE-AD-11870713/?Cr=503,"$11,000*","228,000 km",Wagon,Automatic,6cyl 3.2L Petrol,NSW
